香港,#genre#

翡翠台,http://198.16.100.90:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8 

翡翠台jade_twn,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
翡翠台jade_twn,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
翡翠台jade_twn,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182

J2台,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=ME0E4382171043821710&ct=19237&tsum=6f10351124a4eb90780b2f84b2c4d349
J2台,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
J2台,http://50.7.238.114:8278/j2_twn/playlist.m3u8?tid=MA8A1176878411768784&ct=19225&tsum=fea41bb592165942b9971148376f8b70
J2台,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
J2台,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e

ViuTV,http://223.71.206.22:30080/HK/viu/hls.m3u8 
ViuTV,http://198.16.100.90:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
ViuTV,https://epg.pw/stream/e3b6ef61296cb3a88c8940bf8d296959a56b9ab06d5299f75dd9334205ec9d14.ctv
ViuTV,https://epg.pw/stream/2e54819f588afef58249b383b55789976f6d29893af0e745a8b74109f7daedc8.ctv

ViuTV 6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MD7D9950629799506297&ct=19234&tsum=83ba3013be3e325b775bcd348b38eab1
ViuTV 6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
ViuTV 6,http://198.16.100.90:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
ViuTV 6,https://epg.pw/stream/e83500d8f2c5216f06ec0717872a5802c70cb07b644f4766379d88522659f1df.ctv
ViuTV 6,https://epg.pw/stream/a2f7c3b2a59b8c5a0102c301b52f9310ddbba5e3577191c62b283ed070d5ab61.ctv


HoyTV開電視,http://51.89.21.73:27347/livehttpplay?channel_id=20152
HoyTV開電視,http://223.71.206.22:30080/HK/hoy77/hls.m3u8

香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

港台電視31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
港台電視31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8


港台電視32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
港台電視32,http://50.7.238.114:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
港台電視32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
港台電視32,https://epg.pw/stream/ae1fbd315940e4755086ecd9d225627014a3a8a0fee02930c1d6653290050e00.m3u8
港台電視32,https://epg.pw/stream/9af9f2f6222d05161eb1d25dbda515741af92f6c152e4140f7386d047a07f9fb.m3u8

TVB星河台,http://113.64.147.125:8081/hls/135/index.m3u8
TVB星河台,http://171.108.239.62:8020/tsfile/live/1005_1.m3u8

天映頻道,http://198.16.100.90:8278/Celestialindo/playlist.m3u8?tid=MA5A2795215627952156&ct=19254&tsum=5af1cfa380a0d40379beb469d60702ab

明珠台,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad

衛星台,#genre#
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
鳳凰衛視香港台,http://113.64.147.125:8081/hls/38/index.m3u8
鳳凰衛視香港台,http://171.108.239.62:8020/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
鳳凰衛視香港台,http://198.16.100.90:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
鳳凰衛視中文台,http://113.64.147.125:8081/hls/37/index.m3u8
鳳凰衛視中文台,http://183.250.157.35:8880/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
鳳凰衛視中文台,http://198.16.100.90:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳亞衛視,http://107.151.203.111:2209/135/hk.php?id=aoya
星空衛視,http://171.108.239.62:8020/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
星空衛視,http://vl15191373.imwork.net:8880/udp/239.93.0.156:2193
澳門蓮花衛視,https://sc2022.stream-link.org/tv2306.php?id=h20
澳門蓮花衛視,,http://107.151.203.111:2209/dl/lotustv2021.php
澳門蓮花衛視,http://107.151.203.111:2209/135/hk.php?id=amlh


新聞·財經·體育·資訊台,#genre#
TVB娛樂新聞台,https://sc2022.stream-link.org/tv2306.php?id=h10
HoyTV開電視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h17
HoyTV開國際財經台,https://sc2022.stream-link.org/tv2306.php?id=h15
Now新聞台,https://sc2022.stream-link.org/tv2306.php?id=h08
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h04
無綫財經·體育·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h05
無綫新聞台,https://sc2022.stream-link.org/tv2306.php?id=h06
無綫財經·體育·資訊台,https://sc2022.stream-link.org/tv2306.php?id=h07
中央新聞臺,https://sc2022.stream-link.org/tv2306.php?id=h14
鳳凰衛視資訊台,https://sc2022.stream-link.org/tv2306.php?id=h18
鳳凰衛視中文台,https://sc2022.stream-link.org/tv2306.php?id=h19


鬥魚,#genre#
鬥魚電影4K,http://43.138.170.29:35455/douyu/9249162
鬥魚電影HD1,http://43.138.170.29:35455/douyu/4246519
鬥魚電影HD2,http://43.138.170.29:35455/douyu/10240553
鬥魚電影HD3,http://43.138.170.29:35455/douyu/122402
鬥魚電影HD4,http://43.138.170.29:35455/douyu/85894
鬥魚電影HD5,http://43.138.170.29:35455/douyu/263824
鬥魚電影HD6,http://43.138.170.29:35455/douyu/747764
鬥魚電影HD7,http://43.138.170.29:35455/douyu/20415
鬥魚電影HD8,http://43.138.170.29:35455/douyu/8663752
鬥魚電影HD9,http://43.138.170.29:35455/douyu/323876
鬥魚電影HD10,http://43.138.170.29:35455/douyu/6140589
鬥魚電影HD11,http://43.138.170.29:35455/douyu/8770422
鬥魚電影HD12,http://43.138.170.29:35455/douyu/2436390
鬥魚電影HD13,http://43.138.170.29:35455/douyu/218859
鬥魚電影HD14,http://43.138.170.29:35455/douyu/36337
鬥魚電影HD15,http://43.138.170.29:35455/douyu/413573
鬥魚電影HD16,http://43.138.170.29:35455/douyu/1504768
鬥魚電影HD17,http://43.138.170.29:35455/douyu/3637726
鬥魚電影HD18,http://43.138.170.29:35455/douyu/9292492
鬥魚電影HD19,http://43.138.170.29:35455/douyu/3637765rrt97
鬥魚電影HD20,http://43.138.170.29:35455/douyu/10395991
鬥魚電影HD21,http://43.138.170.29:35455/douyu/10395986
鬥魚電影HD22,http://43.138.170.29:35455/douyu/252802
鬥魚電影HD24,http://43.138.170.29:35455/douyu/315131
鬥魚電影HD25,http://43.138.170.29:35455/douyu/8945323
鬥魚電影HD26,http://43.138.170.29:35455/douyu/2516864
鬥魚電影HD27,http://43.138.170.29:35455/douyu/248753
鬥魚電影HD28,http://43.138.170.29:35455/douyu/4332
鬥魚電影HD29,http://43.138.170.29:35455/douyu/9651304
鬥魚電影HD30,http://43.138.170.29:35455/douyu/9650887
鬥魚電影HD31,http://43.138.170.29:35455/douyu/8814650
鬥魚電影HD32,http://43.138.170.29:35455/douyu/10240510
鬥魚電影HD34,http://43.138.170.29:35455/douyu/8985415
鬥魚電影HD35,http://43.138.170.29:35455/douyu/1165374
鬥魚電影HD36,http://43.138.170.29:35455/douyu/1735337
鬥魚電影HD37,http://43.138.170.29:35455/douyu/6537888
鬥魚電影HD38,http://43.138.170.29:35455/douyu/6003761
鬥魚電影HD39,http://43.138.170.29:35455/douyu/9683979
鬥魚電影HD40,http://43.138.170.29:35455/douyu/1226741
鬥魚電影HD41,http://43.138.170.29:35455/douyu/59612
鬥魚電影HD42,http://43.138.170.29:35455/douyu/925724
鬥魚電影1,http://43.138.170.29:35455/douyu/5423
鬥魚電影2,http://43.138.170.29:35455/douyu/2935323
鬥魚電影3,http://43.138.170.29:35455/douyu/6027991
鬥魚電影4,http://43.138.170.29:35455/douyu/4105989
鬥魚電影5,http://43.138.170.29:35455/douyu/6369954
鬥魚電影6,http://43.138.170.29:35455/douyu/2793084
鬥魚電影7,http://43.138.170.29:35455/douyu/7494871
鬥魚電影8,http://43.138.170.29:35455/douyu/8986148
鬥魚電影9,http://43.138.170.29:35455/douyu/74374
鬥魚電影10,http://43.138.170.29:35455/douyu/4870914
鬥魚電影11,http://43.138.170.29:35455/douyu/7305938
鬥魚電影12,http://43.138.170.29:35455/douyu/310926
鬥魚電影13,http://43.138.170.29:35455/douyu/9292499
鬥魚電影14,http://43.138.170.29:35455/douyu/3637778
鬥魚電影15,http://43.138.170.29:35455/douyu/8603174
鬥魚電影16,http://43.138.170.29:35455/douyu/96577
鬥魚電影17,http://43.138.170.29:35455/douyu/4282654
鬥魚電影18,http://43.138.170.29:35455/douyu/338759
